ref,file,cat,w,h,date,desc,src
200,ref_200_ppie1915_Art_in_California_a_survey_of_American_art_with_sp.jpg,ppie1915,2160,3460,1916,"
Identifier: artincalifornias00port (find matches)
Title: Art in California : a survey of American art with special reference to Californian painting, sculpture and architecture past and present, part",https://commons.wikimedia.org/wiki/File%3AArt%20in%20California%20-%20a%20survey%20of%20American%20art%20with%20special%20reference%20to%20Californian%20painting%2C%20sculpture%20and%20architecture%20past%20and%20present%2C%20particularly%20as%20those%20arts%20were%20represented%20at%20the%20%2814598145780%29.jpg
201,ref_201_ppie1915_Art_in_California_a_survey_of_American_art_with_sp.jpg,ppie1915,3251,1952,1916,"
Identifier: artincalifornias00port (find matches)
Title: Art in California : a survey of American art with special reference to Californian painting, sculpture and architecture past and present, part",https://commons.wikimedia.org/wiki/File%3AArt%20in%20California%20-%20a%20survey%20of%20American%20art%20with%20special%20reference%20to%20Californian%20painting%2C%20sculpture%20and%20architecture%20past%20and%20present%2C%20particularly%20as%20those%20arts%20were%20represented%20at%20the%20%2814598183489%29.jpg
202,ref_202_ppie1915_Art_in_California_a_survey_of_American_art_with_sp.jpg,ppie1915,2832,1822,1916,"
Identifier: artincalifornias00port (find matches)
Title: Art in California : a survey of American art with special reference to Californian painting, sculpture and architecture past and present, part",https://commons.wikimedia.org/wiki/File%3AArt%20in%20California%20-%20a%20survey%20of%20American%20art%20with%20special%20reference%20to%20Californian%20painting%2C%20sculpture%20and%20architecture%20past%20and%20present%2C%20particularly%20as%20those%20arts%20were%20represented%20at%20the%20%2814804702443%29.jpg
203,ref_203_ppie1915_Art_in_California_a_survey_of_American_art_with_sp.jpg,ppie1915,1676,1955,1916,"
Identifier: artincalifornias00port (find matches)
Title: Art in California : a survey of American art with special reference to Californian painting, sculpture and architecture past and present, part",https://commons.wikimedia.org/wiki/File%3AArt%20in%20California%20-%20a%20survey%20of%20American%20art%20with%20special%20reference%20to%20Californian%20painting%2C%20sculpture%20and%20architecture%20past%20and%20present%2C%20particularly%20as%20those%20arts%20were%20represented%20at%20the%20%2814804720573%29.jpg
204,ref_204_ppie1915_Art_in_California_a_survey_of_American_art_with_sp.jpg,ppie1915,1965,2797,1916,"
Identifier: artincalifornias00port (find matches)
Title: Art in California : a survey of American art with special reference to Californian painting, sculpture and architecture past and present, part",https://commons.wikimedia.org/wiki/File%3AArt%20in%20California%20-%20a%20survey%20of%20American%20art%20with%20special%20reference%20to%20Californian%20painting%2C%20sculpture%20and%20architecture%20past%20and%20present%2C%20particularly%20as%20those%20arts%20were%20represented%20at%20the%20%2814804722543%29.jpg
205,ref_205_ppie1915_Bandstand_at_the_Palace_of_Fine_Arts_at_the_Panama.jpg,ppie1915,1600,1002,2008-11-21,"Collection: Painter (Milton McFarland, Sr.) Collection
Call number: PI/1988.0006
System ID: 99579
Catalog link: 99579
Pictures taken on trip to Canada and west 1915. View of the Bandstand at Palace of",https://commons.wikimedia.org/wiki/File%3ABandstand%20at%20the%20Palace%20of%20Fine%20Arts%20at%20the%20Panama-Pacific%20International%20Exposition%2C%201915.jpg
206,ref_206_ppie1915_Fine_Arts_Group_San_Francisco_Expo_1915_5168256680.jpg,ppie1915,1410,2061,1915,"Original Collection: Arthur Peck Collection, P99
Item Number: P099_A_347
You can find this image by searching for the item number by clicking here. 
Want more? You can find more digital resources onli",https://commons.wikimedia.org/wiki/File%3AFine%20Arts%20Group%20%E2%80%93%20San%20Francisco%20Expo%201915%20%285168256680%29.jpg
207,ref_207_ppie1915_Panama_Pacific_International_Exposition_San_Franci.jpg,ppie1915,2160,1092,2009-11-20,Palace of Fine Arts and lagoon.,https://commons.wikimedia.org/wiki/File%3APanama-Pacific%20International%20Exposition%2C%20San%20Francisco%2C%20California%201915%20%284120831319%29.jpg
208,ref_208_ppie1915_Pictures_taken_on_trip_to_Canada_and_west_1915_174.jpg,ppie1915,3642,2424,2008-11-19,"Collection: Painter (Milton McFarland, Sr.) Collection
Call number: PI/1988.0006
System ID: 99427
http://zed.mdah.state.ms.us:81/
Pictures taken on trip to Canada and west 1915. View of the Palace of ",https://commons.wikimedia.org/wiki/File%3APictures%20taken%20on%20trip%20to%20Canada%20and%20west%201915%20%2817498562604%29.jpg
209,ref_209_ppie1915_Pictures_taken_on_trip_to_Canada_and_west_1915_181.jpg,ppie1915,3600,2462,2008-11-21,"Collection: Painter (Milton McFarland, Sr.) Collection
Call number: PI/1988.0006
System ID: 99579
Catalog link: 99579
Pictures taken on trip to Canada and west 1915. View of the Bandstand at Palace of",https://commons.wikimedia.org/wiki/File%3APictures%20taken%20on%20trip%20to%20Canada%20and%20west%201915%20%2818121230175%29.jpg
